New York City - Greater (Inflation-Adjusted $),New York JFK -  NY (Inflation-Adjusted $),New York LaGuardia -  NY (Inflation-Adjusted $),Albany -  NY (Inflation-Adjusted $),Buffalo -  NY (Inflation-Adjusted $),Rochester -  NY (Inflation-Adjusted $),Long Beach -  CA (Inflation-Adjusted $),Los Angeles -  CA (Inflation-Adjusted $),San Francisco -  CA (Inflation-Adjusted $),Sacramento -  CA (Inflation-Adjusted $),San Diego -  CA (Inflation-Adjusted $),San Jose -  CA (Inflation-Adjusted $),Ft  Lauderdale -  FL (Inflation-Adjusted $),Miami -  FL (Inflation-Adjusted $),Tampa -  FL (Inflation-Adjusted $),Harrisburg -  PA (Inflation-Adjusted $)_y,Philadelphia -  PA (Inflation-Adjusted $)_y,Pittsburgh -  PA (Inflation-Adjusted $)_y,Birmingham -  AL (Inflation-Adjusted $),Huntsville -  AL (Inflation-Adjusted $),Little Rock -  AR (Inflation-Adjusted $),Denver -  CO (Inflation-Adjusted $),Phoenix -  AZ (Inflation-Adjusted $),Tucson -  AZ (Inflation-Adjusted $),Atlanta -  GA (Inflation-Adjusted $),Hartford -  CT (Inflation-Adjusted $),Savannah -  GA (Inflation-Adjusted $),Chicago O'Hare -  IL (Inflation-Adjusted $),Des Moines -  IA (Inflation-Adjusted $),Indianapolis -  IN (Inflation-Adjusted $),Lexington -  KY (Inflation-Adjusted $)_y,Louisville -  KY (Inflation-Adjusted $)_y,Wichita -  KS (Inflation-Adjusted $)_y,Baltimore -  MD (Inflation-Adjusted $),New Orleans -  LA (Inflation-Adjusted $),Portland -  ME (Inflation-Adjusted $),Detroit -  MI (Inflation-Adjusted $)_y,Flint -  MI (Inflation-Adjusted $)_y,Minneapolis/St  Paul -  MN (Inflation-Adjusted $)_y,Detroit -  MI (Inflation-Adjusted $),Flint -  MI (Inflation-Adjusted $),Minneapolis/St  Paul -  MN (Inflation-Adjusted $),Las Vegas -  NV (Inflation-Adjusted $),Omaha -  NE (Inflation-Adjusted $),Reno -  NV (Inflation-Adjusted $),Atlantic City -  NJ (Inflation-Adjusted $),Manchester -  NH (Inflation-Adjusted $),Newark-Liberty -  NJ (Inflation-Adjusted $),Albuquerque -  NM (Inflation-Adjusted $),Greensboro/High Point -  NC (Inflation-Adjusted $),Raleigh/Durham -  NC (Inflation-Adjusted $),Oklahoma City -  OK (Inflation-Adjusted $),Portland -  OR (Inflation-Adjusted $),Tulsa -  OK (Inflation-Adjusted $),Charleston -  SC (Inflation-Adjusted $),Greenville/Spartanburg -  SC (Inflation-Adjusted $),Providence -  RI (Inflation-Adjusted $),Dallas-Fort Worth -  TX (Inflation-Adjusted $)_y,Houston Bush -  TX (Inflation-Adjusted $)_y,San Antonio -  TX (Inflation-Adjusted $)_y,Norfolk/Virginia Beach -  VA (Inflation-Adjusted $),Richmond -  VA (Inflation-Adjusted $),Salt Lake City -  UT (Inflation-Adjusted $),Bellingham -  WA (Inflation-Adjusted $),Madison -  WI (Inflation-Adjusted $),Milwaukee -  WI (Inflation-Adjusted $)
472.65,483.08,425.94,474.64,370.84,459.33,264.95,449.16,465.42,405.76,402.78,357.42,320.96,466.68,363.84,473.84,470.56,435.07,476.44,0.0,486.24,370.81,393.46,443.59,467.65,427.84,510.75,427.98,455.76,441.19,0.0,463.77,443.09,367.91,377.51,463.25,466.84,0.0,490.02,466.84,0.0,490.02,286.31,450.1,395.93,157.4,414.76,520.38,419.19,506.56,434.03,467.9,404.34,480.93,437.03,471.71,384.88,465.78,511.86,444.65,491.16,459.33,439.77,250.32,576.3,407.15
465.66,473.74,418.74,477.8,382.29,476.64,279.38,452.99,480.05,414.75,409.26,381.32,295.05,408.23,349.55,521.19,453.23,425.67,480.76,0.0,483.96,367.31,390.59,441.36,434.27,442.94,494.81,411.0,427.94,420.59,0.0,479.46,434.81,363.86,375.99,464.01,465.22,0.0,473.59,465.22,0.0,473.59,277.27,441.97,389.78,186.43,429.35,519.81,419.77,510.86,427.44,462.22,404.12,463.97,439.27,461.05,411.78,443.53,496.55,441.65,497.04,476.64,429.84,222.14,570.37,393.98
465.66,473.74,418.74,480.14,353.82,476.64,279.38,452.99,480.05,414.75,409.26,381.32,295.05,408.23,349.55,521.19,453.23,425.67,480.76,0.0,483.96,367.31,390.59,441.36,434.27,442.94,494.81,411.0,427.94,420.59,0.0,479.46,434.81,363.86,375.99,464.01,465.22,0.0,473.59,465.22,0.0,473.59,277.27,441.97,389.78,186.43,429.35,519.81,419.77,510.86,427.44,462.22,404.12,463.97,439.27,461.05,411.78,443.53,496.55,441.65,497.04,476.64,429.84,222.14,570.37,393.98
450.79,466.91,386.99,448.52,356.82,461.05,275.56,421.69,459.3,407.09,391.91,373.84,286.66,377.54,344.23,520.53,416.51,423.19,477.49,0.0,481.41,350.62,371.12,445.83,413.68,433.5,463.84,370.74,416.04,405.76,0.0,462.2,433.27,355.49,356.96,457.64,444.42,0.0,460.8,444.42,0.0,460.8,263.41,424.67,389.08,162.74,413.3,518.96,415.25,486.52,404.98,457.07,380.46,459.5,416.19,451.7,393.25,394.46,481.82,436.73,482.27,476.64,416.15,199.66,554.41,390.52
441.6,453.51,382.82,427.78,347.49,459.9,263.18,417.46,455.93,394.09,391.07,369.98,274.14,335.34,337.05,506.35,404.41,417.26,469.99,0.0,458.3,338.67,367.99,426.98,395.0,428.07,468.22,362.12,417.49,396.06,0.0,451.4,426.32,356.63,358.37,437.98,437.48,0.0,444.7,437.48,0.0,444.7,258.22,431.68,370.42,161.86,403.45,499.3,406.3,464.27,391.62,437.5,381.75,444.82,406.88,430.94,388.39,378.43,455.15,419.29,466.59,461.05,412.97,245.07,568.52,387.99
428.94,437.92,366.01,430.73,366.37,462.38,247.12,393.66,432.58,384.41,381.01,344.07,274.78,341.34,334.14,513.47,406.3,422.11,488.53,0.0,480.03,354.77,370.22,422.35,406.07,421.61,488.24,368.04,429.18,387.96,0.0,458.79,441.36,355.25,353.47,455.44,427.74,0.0,452.26,427.74,0.0,452.26,254.07,438.8,388.39,141.46,407.31,488.63,406.79,496.92,407.19,451.12,364.09,459.7,414.91,472.01,380.42,382.42,482.99,428.12,474.33,459.9,427.21,238.81,574.07,384.34
408.69,417.92,355.87,434.12,333.4,454.62,246.86,384.35,433.77,400.77,385.61,351.54,256.75,322.24,333.26,471.62,390.0,408.8,478.87,0.0,468.64,332.99,358.94,424.64,377.15,420.42,426.3,338.12,401.98,377.09,0.0,472.21,410.11,338.88,350.32,448.77,401.6,0.0,410.25,401.6,0.0,410.25,248.39,413.61,381.49,0.0,407.57,459.96,415.26,478.7,381.58,441.38,354.62,450.43,398.7,452.89,389.14,374.01,458.35,415.23,462.06,462.38,401.61,0.0,513.17,354.19
404.97,423.29,343.39,418.58,340.65,438.93,237.53,372.57,408.86,387.38,375.38,347.22,258.13,326.02,344.06,480.18,388.18,386.36,484.2,0.0,467.77,329.05,343.35,411.61,369.44,411.62,403.85,330.24,393.25,372.25,0.0,454.45,400.89,337.97,333.84,434.59,395.73,0.0,401.06,395.73,0.0,401.06,239.52,396.33,381.48,0.0,400.34,458.59,407.2,458.21,370.68,440.28,335.72,436.25,385.04,435.8,376.02,370.48,458.23,406.25,460.09,454.62,384.53,0.0,497.81,349.95
408.84,426.7,353.17,405.08,331.91,442.95,222.87,383.59,429.18,384.04,378.18,344.65,251.88,316.74,332.25,535.36,392.55,397.62,472.42,0.0,451.77,328.83,337.92,396.29,362.97,404.18,432.7,335.19,382.92,373.22,0.0,431.59,406.83,335.57,326.94,407.41,395.86,0.0,397.25,395.86,0.0,397.25,238.36,390.11,369.36,0.0,393.4,446.06,391.9,455.13,372.5,430.75,343.31,425.68,394.57,434.53,371.42,376.18,460.17,412.8,452.64,438.93,374.76,0.0,523.05,360.27
386.65,406.98,331.25,422.16,340.05,443.23,199.21,363.31,413.91,369.79,366.98,319.6,252.81,333.53,335.9,488.34,400.71,399.53,477.01,0.0,463.23,341.94,344.38,400.01,378.24,393.49,444.64,349.27,404.9,386.41,0.0,449.53,427.7,332.08,340.76,416.74,403.34,0.0,408.57,403.34,0.0,408.57,266.65,415.71,365.12,0.0,399.14,414.33,399.34,472.19,371.67,439.12,340.81,451.47,396.59,454.54,368.59,394.01,463.65,423.21,452.14,442.95,387.23,0.0,517.23,381.22
