Total Dom. Cargo Flights,Total Intl. Cargo Flights,Total Cargo Flights,Total Dom. Cargo Freight Ton Miles,Total Intl. Cargo Freight Ton Miles,Total Cargo Freight Ton Miles,Total Dom. Cargo Revenue Ton Miles,Total Intl. Cargo Revenue Ton Miles,Total Cargo Revenue Ton Miles,U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB in U.S. Dollars per Gallon
36621,15707,52328.0,957847,1942349,2900196.0,883448,1464470,2347918.0,2.8309999999999995
43104,15101,58205.0,1122852,1808931,2931783.0,1055467,1383259,2438726.0,2.9551904761904773
38296,14884,53180.0,966227,1654864,2621091.0,897674,1249833,2147507.0,2.9209047619047617
35448,13652,49100.0,850518,1490794,2341312.0,784588,1074823,1859411.0,2.9648947368421052
37568,15406,52974.0,1004736,1944935,2949671.0,925110,1422988,2348098.0,2.886727272727273
39166,15052,54218.0,1008116,1823096,2831212.0,936403,1354270,2290673.0,2.890047619047619
39756,15383,55139.0,1013348,1918342,2931690.0,935801,1411528,2347329.0,2.86855
37744,15189,52933.0,974911,1874585,2849496.0,897336,1363930,2261266.0,2.8819999999999997
40558,16121,56679.0,1031027,1962340,2993367.0,955582,1426179,2381761.0,2.8154090909090908
39655,15384,55039.0,1017030,1857888,2874918.0,942935,1352112,2295047.0,2.8397999999999994
36926,14471,51397.0,976276,1832197,2808473.0,904013,1329739,2233752.0,2.7344
41986,16168,58154.0,1084945,2018272,3103217.0,1008377,1471495,2479872.0,2.444428571428572
37112,15403,52515.0,1043042,2011249,3054291.0,969314,1501621,2470935.0,2.2867499999999996
48196,15450,63646.0,1189071,1923309,3112380.0,1129084,1444416,2573500.0,1.7875714285714286
38161,14783,52944.0,979208,1767107,2746315.0,914213,1325976,2240189.0,1.4955500000000002
36077,13963,50040.0,957394,1708060,2665454.0,886243,1229134,2115377.0,1.7662105263157895
38595,15957,54552.0,1053137,1987887,3041024.0,979000,1456369,2435369.0,1.6272173913043473
39788,15448,55236.0,1024659,1924582,2949241.0,959415,1439583,2398998.0,1.7147142857142856
38958,15069,54027.0,1005101,1873395,2878496.0,935096,1379646,2314742.0,1.8472499999999996
39722,15227,54949.0,1007493,1851097,2858590.0,935543,1352806,2288349.0,1.7265
41053,15720,56773.0,1036702,1864949,2901651.0,970171,1366367,2336538.0,1.535238095238095
39229,14405,53634.0,1001280,1791863,2793143.0,933872,1306008,2239880.0,1.389590909090909
40242,15122,55364.0,1038775,1872058,2910833.0,974433,1385945,2360378.0,1.3929523809523807
42734,15503,58237.0,1103890,1999693,3103583.0,1038083,1469877,2507960.0,1.3903333333333334
37490,15125,52615.0,1038910,1973324,3012234.0,969533,1489240,2458773.0,1.3224545454545455
51376,15013,66389.0,1256478,1893635,3150113.0,1199947,1427477,2627424.0,1.0726086956521736
39282,14392,53674.0,980570,1742342,2722912.0,928704,1314884,2243588.0,0.9304
38155,13660,51815.0,907039,1572478,2479517.0,849304,1136798,1986102.0,0.9727000000000002
43969,14994,58963.0,1091886,1907698,2999584.0,1035002,1413902,2448904.0,1.0695
41089,14871,55960.0,1058594,1908765,2967359.0,988412,1415480,2403892.0,1.1545999999999998
39665,14721,54386.0,1033430,1865699,2899129.0,960066,1357986,2318052.0,1.2990454545454546
42903,15033,57936.0,1092286,1872852,2965138.0,1015214,1370221,2385435.0,1.384409090909091
40740,14756,55496.0,1050553,1890714,2941267.0,975301,1378488,2353789.0,1.2501
43453,15216,58669.0,1107846,1889500,2997346.0,1033318,1403473,2436791.0,1.3015652173913044
41872,14894,56766.0,1120260,1932818,3053078.0,1047627,1415621,2463248.0,1.3210000000000002
41537,15194,56731.0,1137832,2130009,3267841.0,1056974,1544984,2601958.0,1.4549090909090907
43042,15521,58563.0,1182722,2115716,3298438.0,1109461,1600414,2709875.0,1.3588636363636364
52025,14954,66979.0,1321437,2006707,3328144.0,1258150,1498562,2756712.0,1.4903499999999998
39647,14575,54222.0,1058955,1840010,2898965.0,987541,1367467,2355008.0,1.5124761904761905
38480,13294,51774.0,962565,1661090,2623655.0,896801,1182830,2079631.0,1.5466842105263159
